0,100000
0.25,103000.0
0.5,106090.0
0.75,109272.7
1.0,112550.88
1.25,115927.41
1.5,119405.23
1.75,122987.39
2.0,126677.01
2.25,130477.32
2.5,134391.64
2.75,138423.39
3.0,142576.09
3.25,146853.37
3.5,151258.97
3.75,155796.74
4.0,160470.64
4.25,165284.76
4.5,170243.31
4.75,175350.61
5.0,180611.12
5.25,186029.46
5.5,191610.34
5.75,197358.65
6.0,203279.41
6.25,209377.79
6.5,215659.13
6.75,222128.9
7.0,228792.77
7.25,235656.55
7.5,242726.25
7.75,250008.03
8.0,257508.28
8.25,265233.52
8.5,273190.53
8.75,281386.25
9.0,289827.83
9.25,298522.67
9.5,307478.35
9.75,316702.7
10.0,326203.78
