0,100000
0.25,102500.0
0.5,105062.5
0.75,107689.06
1.0,110381.29
1.25,113140.82
1.5,115969.34
1.75,118868.58
2.0,121840.29
2.25,124886.3
2.5,128008.45
2.75,131208.67
3.0,134488.88
3.25,137851.1
3.5,141297.38
3.75,144829.82
4.0,148450.56
4.25,152161.83
4.5,155965.87
4.75,159865.02
5.0,163861.64
5.25,167958.19
5.5,172157.14
5.75,176461.07
6.0,180872.59
6.25,185394.41
6.5,190029.27
6.75,194780.0
7.0,199649.5
7.25,204640.74
7.5,209756.76
7.75,215000.68
8.0,220375.69
8.25,225885.09
8.5,231532.21
8.75,237320.52
9.0,243253.53
9.25,249334.87
9.5,255568.24
9.75,261957.45
10.0,268506.38
